"genus","species","bc","N","kmean","clust","ncr","Brain","logsmean","logwclust"
"Sapajus","apella",12.5877043290399,12,7.16666666666667,0.690013227513228,2.25,4.19915492657445,1.96944064413993,-2.5838238512238
"Macaca","arctoides",18.6267253666863,20,10.6190476190476,0.622300130946748,2.43,4.61214579972452,2.8409930872476,-2.50939262854668
"Cercopithecus","campbelli",34.4616583060063,15,7.86666666666667,0.663665223665223,2.21,4.04987007212027,2.06263442337023,-2.97955281650295
"Papio","cynocephalus",4.29992381330563,11,2.55555555555556,0.158333333333333,2.68,5.09491516614284,1.26851132546351,-2.65552927255498
"Macaca","fascicularis",2.18205144039301,10.5,3.85714285714285,0.349149659863946,2.6,4.15857053452137,1.77277079629541,-3.84714462258143
"Macaca","fuscata",12.9755415886698,9,6.52380952380952,0.907539682539683,2.45,4.63395198741354,4.52751227287988,-2.7581928972642
"Ateles","geoffroyi",10.0209107705429,15,6,0.530634920634921,2.35,4.65481712587751,1.79175946921472,-2.41761325334867
"Colobus","guereza",8.7598256041119,8,4.5,0.5875,2.32,4.30932152420325,1.50407739677072,-2.32565228268842
"Ateles","hybridus",11.8147009994629,17,8.47058823529412,0.810538481126716,2.35,4.63521430733647,6.67767596607857,-2.38364837699207
"Macaca","mulatta",8.10042581974106,78,14.3037974683544,0.294257911890699,2.6,4.4884116253779,3.72166927693693,-3.93245126952134
"Pan","paniscus",5.04460813050126,19,5.78947368421053,0.463628768891927,3.22,5.83273255574711,1.75604185208041,-2.79383611728118
"Papio","papio",4.88005717210021,25,7.76,0.409108114108114,2.76,5.09491516614284,2.04898529295364,-3.45989084302825
"Erythrocebus","patas",8.12631251840858,19,5.15789473684211,0.559463051568315,2.96,4.58220857435074,1.64052849949393,-2.59699465765233
"Macaca","radiata",28.2174017298345,18,9.8625,0.699722048784549,2.28,4.31575327624259,2.75592883884453,-2.202609577205
"Macaca","sylvanus",3.08251053144781,8,7,1,2.37,4.53474772169155,3.29472513715164,-3.76879165265358
"Macaca","tonkeana",24.1186393586157,25,14.48,0.62012335926887,2.6,4.54009818924438,2.67276838699624,-2.72031706183194
"Pan","troglodytes",11.4156753963498,24,8.58333333333333,0.652327302327302,3.22,5.90903357312882,2.14982296053853,-2.49260951448302
